Algorithm;ScenarioName;RunIndex;MapWidth;MapHeight;ObstacleDensity;MapType;AllowDiagonal;Start;Goal;LinearDistance;WeightW;TimeLimitMs;MaxExpansions;TieBreakLowG;Found;PathCost;PathLength;Expansions;ElapsedMs;AllocBytes
Dijkstra;0_100x100_dens0,10_corner_NoDiag;40;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8999;5;4799592
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;40;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;208.0;209;267;0;207600
Dijkstra;0_100x100_dens0,10_corner_NoDiag;41;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;5;4799344
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;41;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;210.0;211;283;0;211568
Dijkstra;0_100x100_dens0,10_corner_NoDiag;42;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;5;4799096
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;42;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;262;0;194048
Dijkstra;0_100x100_dens0,10_corner_NoDiag;43;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;5;4799096
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;43;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;315;0;219504
Dijkstra;0_100x100_dens0,10_corner_NoDiag;44;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;5;4805512
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;44;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;234;0;199416
Dijkstra;0_100x100_dens0,10_corner_NoDiag;45;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8996;5;4798848
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;45;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;315;0;219504
Dijkstra;0_100x100_dens0,10_corner_NoDiag;46;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8999;5;4799592
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;46;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;366;0;232152
Dijkstra;0_100x100_dens0,10_corner_NoDiag;47;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8995;5;4798600
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;47;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;202.0;203;238;0;200408
Dijkstra;0_100x100_dens0,10_corner_NoDiag;48;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;6;4799096
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;48;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;256;0;204872
Dijkstra;0_100x100_dens0,10_corner_NoDiag;49;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;8;4799344
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;49;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;305;0;217024
Dijkstra;0_100x100_dens0,10_corner_Diag;0;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.35028842544395;104;8999;6;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;0;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;145.86500705120537;110;109;0;167264
JPS;0_100x100_dens0,10_corner_Diag;0;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.93607486307084;91;90;2;144416
Dijkstra;0_100x100_dens0,10_corner_Diag;1;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;141.76450198781706;103;8999;6;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;1;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;147.03657992645915;112;122;0;171632
JPS;0_100x100_dens0,10_corner_Diag;1;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.35028842544392;87;86;0;137600
Dijkstra;0_100x100_dens0,10_corner_Diag;2;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.93607486307084;105;8999;7;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;2;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;146.1076477383247;109;112;0;168272
JPS;0_100x100_dens0,10_corner_Diag;2;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;144.10764773832463;90;90;0;144152
Dijkstra;0_100x100_dens0,10_corner_Diag;3;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;141.17871555019016;102;8999;6;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;3;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;143.52186130069774;106;105;0;165920
JPS;0_100x100_dens0,10_corner_Diag;3;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;141.17871555019008;80;79;0;132416
Dijkstra;0_100x100_dens0,10_corner_Diag;4;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.93607486307087;105;8999;6;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;4;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;147.86500705120537;112;115;0;169280
JPS;0_100x100_dens0,10_corner_Diag;4;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;143.5218613006978;87;86;0;137512
Dijkstra;0_100x100_dens0,10_corner_Diag;5;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.93607486307087;105;8999;6;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;5;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;144.69343417595155;108;108;0;166928
JPS;0_100x100_dens0,10_corner_Diag;5;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;143.52186130069774;94;93;0;146688
Dijkstra;0_100x100_dens0,10_corner_Diag;6;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.93607486307087;105;8999;6;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;6;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;145.52186130069776;108;112;0;168272
